JobRole,Less than a year ago,1-2 years ago,3-4 years ago,More than 4 years ago
Senior executive/VP,18.15899581589958,22.17573221757322,17.489539748953973,42.17573221757322
Engineering manager,19.543464665415886,22.70168855534709,20.85678549093183,36.898061288305186
Product manager,21.925925925925927,24.51851851851852,19.51851851851852,34.03703703703704
Database administrator,24.63033375580904,26.29207153921983,17.884804957048303,31.192789747922827
System administrator,25.242868157286047,25.397070161912104,17.548188126445645,31.811873554356207
Data or business analyst,27.70342043764606,27.597195666029318,17.27214786488209,27.427236031442533
"Developer, desktop or enterprise applications",27.81872582646136,26.833540100707875,16.9305991388747,28.417134933956067
DevOps specialist,28.175457481162542,27.691065662002153,19.052744886975244,25.080731969860064
Marketing or sales professional,28.440366972477065,27.522935779816514,16.743119266055047,27.293577981651374
Educator,28.976325441813938,27.075691897299098,17.80593531177059,26.14204734911637
"Developer, QA or test",29.30232558139535,29.689922480620158,18.15891472868217,22.848837209302324
Designer,29.42635146305174,27.64093238551827,16.54818978343528,26.38452636799471
"Developer, embedded applications or devices",29.54997288993313,28.212542924272547,17.079342129043916,25.158142056750403
"Engineer, site reliability",29.811804961505562,27.37382378100941,19.332763045337895,23.481608212147133
Scientist,30.74581430745814,26.40791476407915,18.226788432267885,24.619482496194824
"Engineer, data",32.76787631522439,29.439553360532532,16.79192613270346,21.00064419153962
"Developer, full-stack",33.050724004311974,29.018442443842325,16.598199458089326,21.332634093756372
"Developer, back-end",33.50266234163657,28.94914009425301,16.736030356814982,20.812167207295428
"Developer, front-end",34.18169478378903,29.178786115958893,16.361256544502616,20.278262555749464
"Developer, mobile",34.547796485417244,30.84000368019137,16.036433894562517,18.57576593982887
Academic researcher,34.913688305373206,29.321663019693656,16.435691709214687,19.32895696571845
"Developer, game or graphics",35.14584083543392,29.456247749369822,16.636658264314008,18.761253150882247
Data scientist or machine learning specialist,35.7606490872211,30.50709939148073,15.760649087221095,17.97160243407708
Student,51.25563425627817,30.006439150032193,11.461687057308435,7.276239536381198
